iter	Passed	Remaining
0	1	179
1	3	192
2	6	214
3	8	197
4	10	195
5	12	194
6	14	189
7	16	184
8	17	181
9	19	176
10	21	171
11	22	167
12	24	167
13	27	168
14	31	176
15	33	177
16	36	177
17	38	173
18	40	172
19	42	171
20	46	173
21	48	171
22	50	168
23	52	164
24	53	161
25	56	162
26	59	160
27	61	157
28	63	154
29	65	152
30	67	151
31	72	153
32	74	150
33	76	148
34	78	146
35	80	143
36	84	143
37	87	142
38	89	140
39	91	137
40	93	134
41	94	131
42	96	128
43	99	126
44	101	124
45	104	122
46	106	120
47	108	117
48	110	115
49	113	113
50	115	110
51	117	108
52	119	105
53	121	103
54	122	100
55	124	98
56	126	95
57	128	93
58	130	90
59	132	88
60	134	86
61	136	83
62	138	81
63	140	79
64	142	76
65	144	74
66	147	72
67	148	70
68	150	67
69	153	65
70	155	63
71	156	61
72	159	58
73	161	56
74	163	54
75	165	52
76	168	50
77	170	48
78	172	45
79	174	43
80	176	41
81	178	39
82	180	36
83	182	34
84	184	32
85	186	30
86	188	28
87	190	25
88	192	23
89	194	21
90	196	19
91	198	17
92	200	15
93	202	12
94	204	10
95	206	8
96	208	6
97	210	4
98	212	2
99	214	0
